gmtTime,srcAddrOrg,car_id,lng,lat,isArriveOrLeft,stationSeqNum
2017-05-08T06:01:44+0800,720040,50079580,120.151449,30.235805,2,25
2017-05-08T06:01:54+0800,720040,50079580,120.151731,30.236552,1,26
2017-05-08T06:02:05+0800,720040,50079583,120.121655,30.193515,2,16
2017-05-08T06:02:06+0800,720040,50079583,120.12187,30.193656,1,17
2017-05-08T06:02:34+0800,720040,50079550,120.130896,30.217614,1,10
2017-05-08T06:02:59+0800,720040,50079556,120.072235,30.160786,1,27
2017-05-08T06:03:21+0800,720040,50079556,120.073596,30.161167,2,27
2017-05-08T06:03:24+0800,720040,50079580,120.153635,30.240951,2,26
2017-05-08T06:03:36+0800,720040,50079583,120.12889,30.198609,2,17
2017-05-08T06:03:39+0800,720040,50079583,120.128854,30.198778,1,18
2017-05-08T06:03:45+0800,720040,50079585,120.157421,30.252256,1,2
2017-05-08T06:03:47+0800,720040,50079550,120.130599,30.21305,1,11
2017-05-08T06:04:10+0800,720040,50079585,120.156873,30.251878,2,2
2017-05-08T06:04:27+0800,720040,50079580,120.153466,30.242403,1,27
2017-05-08T06:04:38+0800,720040,50079556,120.07779,30.164523,1,28
2017-05-08T06:04:53+0800,720040,50079583,120.132636,30.203674,1,19
2017-05-08T06:05:02+0800,720040,50079580,120.154039,30.24407,1,28
2017-05-08T06:05:16+0800,720040,50079556,120.078617,30.165505,2,28
2017-05-08T06:05:17+0800,720040,50079550,120.13164,30.207442,2,11
2017-05-08T06:05:43+0800,720040,50079585,120.154995,30.245885,1,3
2017-05-08T06:05:50+0800,720040,50079550,120.133365,30.205463,1,12
2017-05-08T06:06:04+0800,720040,50079583,120.130776,30.209366,1,20
2017-05-08T06:06:07+0800,720040,50079585,120.154342,30.244914,2,3
2017-05-08T06:06:32+0800,720040,50079580,120.15762,30.248244,2,28
2017-05-08T06:06:42+0800,720040,50079556,120.081034,30.166953,1,29
2017-05-08T06:07:01+0800,720040,50079556,120.082229,30.167531,2,29
2017-05-08T06:07:03+0800,720040,50079581,120.067695,30.159689,1,26
2017-05-08T06:07:19+0800,720040,50079550,120.12997,30.19979,1,13
2017-05-08T06:07:32+0800,720040,50079583,120.13114,30.215867,1,21
2017-05-08T06:07:37+0800,720040,50079585,120.153463,30.241774,1,4
2017-05-08T06:07:57+0800,720040,50079556,120.087123,30.170086,1,30
2017-05-08T06:07:58+0800,720040,50079585,120.153457,30.240961,2,4
2017-05-08T06:08:28+0800,720040,50079581,120.072814,30.160918,1,27
2017-05-08T06:08:34+0800,720040,50079556,120.088158,30.170413,2,30
2017-05-08T06:08:46+0800,720040,50079580,120.159884,30.249242,1,29
2017-05-08T06:08:49+0800,720040,50079550,120.124298,30.196052,2,13
2017-05-08T06:08:52+0800,720040,50079585,120.152091,30.237682,1,5
2017-05-08T06:08:59+0800,720040,50079550,120.12341,30.19544,1,14
2017-05-08T06:09:02+0800,720040,50079583,120.131705,30.221173,2,21
2017-05-08T06:09:08+0800,720040,50079585,120.151682,30.237041,2,5
2017-05-08T06:09:19+0800,720040,50079550,120.122628,30.194717,2,14
2017-05-08T06:09:29+0800,720040,50079583,120.132969,30.224028,1,22
2017-05-08T06:09:58+0800,720040,50079581,120.076437,30.161592,2,27
2017-05-08T06:10:09+0800,720040,50079556,120.09133,30.172144,1,31
