car_id,gmtTime,srcAddrOrg,lng,lat,isArriveOrLeft,stationSeqNum,gmtTime1,timedelta
50079583,2017-05-08 05:47:26+08:00,720040,120.130722,30.214339,1,11,2017-05-08 05:47:18+08:00,0 days 00:00:08.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:16.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:04.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:23.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:38.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:09.000000000
50079580,2017-05-08 05:32:00+08:00,720040,120.132933,30.206071,2,11,2017-05-08 05:30:30+08:00,0 days 00:00:15.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:01.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:27.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:05.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:21.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:12.000000000
50079583,2017-05-08 05:50:30+08:00,720040,120.129611,30.199582,1,13,2017-05-08 05:50:17+08:00,0 days 00:00:13.000000000
50079546,2017-05-08 05:50:53+08:00,720040,120.161423,30.256414,1,48,2017-05-08 05:50:30+08:00,0 days 00:00:23.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:21.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:05.000000000
50079550,2017-05-08 05:51:23+08:00,720040,120.15344,30.241745,1,4,2017-05-08 05:51:19+08:00,0 days 00:00:04.000000000
50079583,2017-05-08 05:51:41+08:00,720040,120.123719,30.195657,1,14,2017-05-08 05:51:23+08:00,0 days 00:00:18.000000000
50079580,2017-05-08 05:32:00+08:00,720040,120.132933,30.206071,2,11,2017-05-08 05:30:30+08:00,0 days 00:00:42.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:19.000000000
50079580,2017-05-08 05:52:44+08:00,720040,120.130463,30.210914,1,20,2017-05-08 05:52:42+08:00,0 days 00:00:02.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:18.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:09.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:01:03.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:19.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:01.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:01:01.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:23.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:05.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:41.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:01:01.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:13.000000000
50079546,2017-05-08 05:41:10+08:00,720040,120.134562,30.228546,2,40,2017-05-08 05:40:27+08:00,0 days 00:00:11.000000000
50079550,2017-05-08 05:59:10+08:00,720040,120.133794,30.227252,1,9,2017-05-08 05:58:09+08:00,0 days 00:01:01.000000000
50079583,2017-05-08 05:37:12+08:00,720040,120.153442,30.242048,2,3,2017-05-08 05:37:11+08:00,0 days 00:00:14.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:04.000000000
50079580,2017-05-08 06:00:14+08:00,720040,120.147604,30.231913,1,25,2017-05-08 05:59:28+08:00,0 days 00:00:46.000000000
50079580,2017-05-08 05:35:03+08:00,720040,120.123253,30.195159,1,14,2017-05-08 05:34:24+08:00,0 days 00:00:26.000000000
50079583,2017-05-08 06:00:50+08:00,720040,120.115589,30.1896,1,15,2017-05-08 06:00:40+08:00,0 days 00:00:10.000000000
50079580,2017-05-08 05:15:54+08:00,720040,120.159448,30.255267,2,1,2017-05-08 05:11:24+08:00,0 days 00:00:54.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:10.000000000
50079583,2017-05-08 06:02:05+08:00,720040,120.121655,30.193515,2,16,2017-05-08 06:01:54+08:00,0 days 00:00:11.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:01.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:28.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:25.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:22.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:03.000000000
50079583,2017-05-08 05:44:22+08:00,720040,120.133739,30.227235,1,9,2017-05-08 05:44:15+08:00,0 days 00:00:12.000000000
50079580,2017-05-08 05:32:11+08:00,720040,120.133228,30.205285,1,12,2017-05-08 05:32:00+08:00,0 days 00:00:03.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:06.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:02.000000000
50079580,2017-05-08 05:32:00+08:00,720040,120.132933,30.206071,2,11,2017-05-08 05:30:30+08:00,0 days 00:00:23.000000000
50079580,2017-05-08 06:04:27+08:00,720040,120.153466,30.242403,1,27,2017-05-08 06:04:10+08:00,0 days 00:00:17.000000000
50079556,2017-05-08 06:04:38+08:00,720040,120.07779,30.164523,1,28,2017-05-08 06:04:27+08:00,0 days 00:00:11.000000000
50079583,2017-05-08 06:02:05+08:00,720040,120.121655,30.193515,2,16,2017-05-08 06:01:54+08:00,0 days 00:00:15.000000000
50079546,2017-05-08 05:41:10+08:00,720040,120.134562,30.228546,2,40,2017-05-08 05:40:27+08:00,0 days 00:00:09.000000000
50079583,2017-05-08 06:02:05+08:00,720040,120.121655,30.193515,2,16,2017-05-08 06:01:54+08:00,0 days 00:00:14.000000000
50079580,2017-05-08 05:32:11+08:00,720040,120.133228,30.205285,1,12,2017-05-08 05:32:00+08:00,0 days 00:00:01.000000000
50079550,2017-05-08 05:51:23+08:00,720040,120.15344,30.241745,1,4,2017-05-08 05:51:19+08:00,0 days 00:00:26.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:07.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:14.000000000
50079546,2017-05-08 05:41:10+08:00,720040,120.134562,30.228546,2,40,2017-05-08 05:40:27+08:00,0 days 00:00:03.000000000
50079580,2017-05-08 06:06:32+08:00,720040,120.15762,30.248244,2,28,2017-05-08 06:06:07+08:00,0 days 00:00:25.000000000
50079556,2017-05-08 06:06:42+08:00,720040,120.081034,30.166953,1,29,2017-05-08 06:06:32+08:00,0 days 00:00:10.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:19.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:02.000000000
50079550,2017-05-08 06:07:19+08:00,720040,120.12997,30.19979,1,13,2017-05-08 06:07:03+08:00,0 days 00:00:16.000000000
50079583,2017-05-08 06:07:32+08:00,720040,120.13114,30.215867,1,21,2017-05-08 06:07:19+08:00,0 days 00:00:13.000000000
50079585,2017-05-08 06:07:37+08:00,720040,120.153463,30.241774,1,4,2017-05-08 06:07:32+08:00,0 days 00:00:05.000000000
50079580,2017-05-08 05:19:14+08:00,720040,120.154798,30.24571,1,3,2017-05-08 05:18:46+08:00,0 days 00:00:20.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:01.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:30.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:06.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:12.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:03.000000000
50079583,2017-05-08 05:37:12+08:00,720040,120.153442,30.242048,2,3,2017-05-08 05:37:11+08:00,0 days 00:00:03.000000000
50079583,2017-05-08 06:07:32+08:00,720040,120.13114,30.215867,1,21,2017-05-08 06:07:19+08:00,0 days 00:00:07.000000000
50079580,2017-05-08 05:33:36+08:00,720040,120.129741,30.199633,1,13,2017-05-08 05:32:11+08:00,0 days 00:00:03.000000000
50079550,2017-05-08 05:51:23+08:00,720040,120.15344,30.241745,1,4,2017-05-08 05:51:19+08:00,0 days 00:00:06.000000000
50079550,2017-05-08 05:51:23+08:00,720040,120.15344,30.241745,1,4,2017-05-08 05:51:19+08:00,0 days 00:00:11.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:10.000000000
50079580,2017-05-08 05:32:11+08:00,720040,120.133228,30.205285,1,12,2017-05-08 05:32:00+08:00,0 days 00:00:29.000000000
50079546,2017-05-08 05:35:41+08:00,720040,120.13081,30.210565,1,38,2017-05-08 05:35:03+08:00,0 days 00:00:11.000000000
50079580,2017-05-08 06:10:16+08:00,720040,120.161702,30.252252,2,29,2017-05-08 06:10:09+08:00,0 days 00:00:07.000000000
50079556,2017-05-08 06:10:31+08:00,720040,120.092306,30.173427,2,31,2017-05-08 06:10:16+08:00,0 days 00:00:15.000000000
50079580,2017-05-08 05:32:11+08:00,720040,120.133228,30.205285,1,12,2017-05-08 05:32:00+08:00,0 days 00:00:08.000000000
50079580,2017-05-08 05:15:54+08:00,720040,120.159448,30.255267,2,1,2017-05-08 05:11:24+08:00,0 days 00:00:06.000000000
50079580,2017-05-08 05:35:03+08:00,720040,120.123253,30.195159,1,14,2017-05-08 05:34:24+08:00,0 days 00:00:03.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:11.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:05.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:20.000000000
50079580,2017-05-08 05:32:00+08:00,720040,120.132933,30.206071,2,11,2017-05-08 05:30:30+08:00,0 days 00:00:19.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:02.000000000
50079546,2017-05-08 05:41:10+08:00,720040,120.134562,30.228546,2,40,2017-05-08 05:40:27+08:00,0 days 00:00:07.000000000
50079583,2017-05-08 06:12:10+08:00,720040,120.141706,30.231538,1,24,2017-05-08 06:11:52+08:00,0 days 00:00:18.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:08.000000000
50079546,2017-05-08 05:35:41+08:00,720040,120.13081,30.210565,1,38,2017-05-08 05:35:03+08:00,0 days 00:00:11.000000000
50079580,2017-05-08 05:32:00+08:00,720040,120.132933,30.206071,2,11,2017-05-08 05:30:30+08:00,0 days 00:00:04.000000000
50079550,2017-05-08 05:51:23+08:00,720040,120.15344,30.241745,1,4,2017-05-08 05:51:19+08:00,0 days 00:00:23.000000000
50079562,2017-05-08 06:12:58+08:00,720040,120.0737,30.161166,2,27,2017-05-08 06:12:56+08:00,0 days 00:00:02.000000000
50079581,2017-05-08 06:13:15+08:00,720040,120.080137,30.166477,2,28,2017-05-08 06:12:58+08:00,0 days 00:00:17.000000000
50079580,2017-05-08 06:13:19+08:00,720040,120.161858,30.256511,1,30,2017-05-08 06:13:15+08:00,0 days 00:00:04.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.133643,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:00:12.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.18922,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:03.000000000
